all,wc,polarity,pos.words,neg.words,text.var
all,5,0.4472136,wonderful,-,The Wonderful Wizard of Oz
all,0,NaN,-,-,
all,0,NaN,-,-,
all,1,0,-,-,by
all,0,NaN,-,-,
all,3,0,-,-,L. Frank Baum
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,1,0,-,-,Contents
all,0,NaN,-,-,
all,1,0,-,-,Introduction
all,2,0,-,-,1.  The Cyclone
all,5,0,-,-,2.  The Council with the Munchkins
all,5,0,-,-,3.  How Dorothy Saved the Scarecrow
all,5,0,-,-,4.  The Road Through the Forest
all,6,0,-,-,5.  The Rescue of the Tin Woodman
all,3,-0.57735027,-,cowardly,6.  The Cowardly Lion
all,6,0.40824829,great,-,7.  The Journey to the Great Oz
all,4,-0.5,-,deadly,8.  The Deadly Poppy Field
all,6,0,-,-,9.  The Queen of the Field Mice
all,5,0,-,-,10.  The Guardian of the Gates
all,5,0,-,-,11.  The Emerald City of Oz
all,6,-0.40824829,-,wicked,12.  The Search for the Wicked Witch
all,2,0,-,-,13.  The Rescue
all,3,0,-,-,14.  The Winged Monkeys
all,6,-0.40824829,-,terrible,15.  The Discovery of Oz the Terrible
all,7,0.75592895,"magic, great",-,16.  The Magic Art of the Great Humbug
all,5,0,-,-,17.  How the Balloon Was Launched
all,4,0,-,-,18.  Away to the South
all,5,0,-,-,19.  Attacked by the Fighting Trees
all,4,0,-,-,20.  The Dainty China Country
all,7,0,-,-,21.  The Lion Becomes the King of Beasts
all,5,0,-,-,22.  The Country of the Quadlings
all,7,0.37796447,good,-,23.  Glinda The Good Witch Grants Dorothy's Wish
all,2,0,-,-,24.  Home Again
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,1,0,-,-,Introduction
all,0,NaN,-,-,
all,0,NaN,-,-,
all,9,0,-,-,"Folklore, legends, myths and fairy tales have followed childhood"
all,11,0.60302269,"healthy, wholesome",-,"through the ages, for every healthy youngster has a wholesome and"
all,8,1.06066017,"love, fantastic, marvelous",-,"instinctive love for stories fantastic, marvelous and manifestly"
all,11,0.30151134,unreal,-,unreal.  The winged fairies of Grimm and Andersen have brought more
all,9,0,happiness,childish,happiness to childish hearts than all other human creations.
all,0,NaN,-,-,
all,13,0,-,-,"Yet the old time fairy tale, having served for generations, may now be"
all,11,0,-,-,"classed as ""historical"" in the children's library; for the time has"
all,12,0.28867513,wonder,-,"come for a series of newer ""wonder tales"" in which the stereotyped"
all,11,-0.30151134,-,horrible,"genie, dwarf and fairy are eliminated, together with all the horrible"
all,11,0,-,-,and blood-curdling incidents devised by their authors to point a
all,9,0.33333333,"modern, morality",fearsome,fearsome moral to each tale.  Modern education includes morality;
all,11,0.36181361,"modern, wonder",-,therefore the modern child seeks only entertainment in its wonder tales
all,7,0,gladly,disagreeable,and gladly dispenses with all disagreeable incident.
all,0,NaN,-,-,
all,13,0.2773501,wonderful,-,"Having this thought in mind, the story of ""The Wonderful Wizard of Oz"""
all,13,0,-,-,was written solely to please children of today.  It aspires to being a
all,12,0.28867513,joy,-,"modernized fairy tale, in which the wonderment and joy are retained and"
all,7,0,-,-,the heartaches and nightmares are left out.
all,0,NaN,-,-,
all,0,NaN,-,-,
all,3,0,-,-,L. Frank Baum
all,0,NaN,-,-,
all,2,0,-,-,"Chicago, April, 1900."
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,5,0.4472136,wonderful,-,THE WONDERFUL WIZARD OF OZ
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,0,NaN,-,-,
all,2,0,-,-,1.  The Cyclone
all,0,NaN,-,-,
all,0,NaN,-,-,
all,12,0.28867513,great,-,"Dorothy lived in the midst of the great Kansas prairies, with Uncle"
all,14,0,-,-,"Henry, who was a farmer, and Aunt Em, who was the farmer's wife.  Their"
all,15,0,-,-,"house was small, for the lumber to build it had to be carried by wagon"
all,14,0,-,-,"many miles.  There were four walls, a floor and a roof, which made one"
all,12,-0.28867513,-,rusty,"room; and this room contained a rusty looking cookstove, a cupboard for"
all,13,0,-,-,"the dishes, a table, three or four chairs, and the beds.  Uncle Henry"
all,16,0,-,-,"and Aunt Em had a big bed in one corner, and Dorothy a little bed in"
all,13,0,-,-,"another corner.  There was no garret at all, and no cellar--except a"
